sample,period,perk,perk_label,status,detail,nobs,ai_wage_postings,beta1_ai_role,beta1_se,beta1_pvalue,beta2_perk,beta2_se,beta2_pvalue,beta3_interaction,beta3_se,beta3_pvalue,beta3_lower_ci,beta3_upper_ci,r_squared
Small firms,2018,PARENTAL_LEAVE,Parental Leave,skipped_sparse_ai_wage_postings,,641,7,,,,,,,,,,,,
Small firms,2018,CULTURE,Workplace Culture,skipped_sparse_ai_wage_postings,,641,7,,,,,,,,,,,,
Small firms,2018,REMOTE_KW,Remote Work,skipped_sparse_ai_wage_postings,,641,7,,,,,,,,,,,,
Small firms,2019,EDU_ASSISTANCE,Tuition Assistance,skipped_sparse_ai_wage_postings,,1257,7,,,,,,,,,,,,
Small firms,2019,PAID LEAVE,Paid Leave,skipped_sparse_ai_wage_postings,,1257,7,,,,,,,,,,,,
Small firms,2019,HEALTH_WELLBEING,Health and Wellbeing,skipped_sparse_ai_wage_postings,,1257,7,,,,,,,,,,,,
Small firms,2019,PARENTAL_LEAVE,Parental Leave,skipped_sparse_ai_wage_postings,,1257,7,,,,,,,,,,,,
Small firms,2019,CULTURE,Workplace Culture,skipped_sparse_ai_wage_postings,,1257,7,,,,,,,,,,,,
Small firms,2019,REMOTE_KW,Remote Work,skipped_sparse_ai_wage_postings,,1257,7,,,,,,,,,,,,
Small firms,2020,EDU_ASSISTANCE,Tuition Assistance,skipped_sparse_ai_wage_postings,,1459,6,,,,,,,,,,,,
Small firms,2020,PAID LEAVE,Paid Leave,skipped_sparse_ai_wage_postings,,1459,6,,,,,,,,,,,,
Small firms,2020,HEALTH_WELLBEING,Health and Wellbeing,skipped_sparse_ai_wage_postings,,1459,6,,,,,,,,,,,,
Small firms,2020,PARENTAL_LEAVE,Parental Leave,skipped_sparse_ai_wage_postings,,1459,6,,,,,,,,,,,,
Small firms,2020,CULTURE,Workplace Culture,skipped_sparse_ai_wage_postings,,1459,6,,,,,,,,,,,,
Small firms,2020,REMOTE_KW,Remote Work,skipped_sparse_ai_wage_postings,,1459,6,,,,,,,,,,,,
Small firms,2021,EDU_ASSISTANCE,Tuition Assistance,skipped_sparse_interaction_cells,,2121,11,,,,,,,,,,,,
Small firms,2021,PAID LEAVE,Paid Leave,ok,,2121,11,0.3018532048935083,0.22376982529837625,0.1773546070316968,-0.0020038979052652006,0.017655620777250334,0.909634838980646,-0.5346177447870863,0.3354785163135002,0.11102620151684647,-1.1921556367615467,0.12292014718737398,0.3721663034866708
Small firms,2021,HEALTH_WELLBEING,Health and Wellbeing,skipped_sparse_interaction_cells,,2121,11,,,,,,,,,,,,
Small firms,2021,PARENTAL_LEAVE,Parental Leave,skipped_sparse_interaction_cells,,2121,11,,,,,,,,,,,,
Small firms,2021,CULTURE,Workplace Culture,skipped_sparse_interaction_cells,,2121,11,,,,,,,,,,,,
Small firms,2021,REMOTE_KW,Remote Work,ok,,2121,11,0.3431903372540488,0.259854654367695,0.18660103511303394,0.2244602653675406,0.04089635962004462,4.05327857098158e-08,-0.6532256998656814,0.3380145202510157,0.053293211323521654,-1.3157341595576721,0.009282759826309439,0.3850663411570424
Small firms,2022,EDU_ASSISTANCE,Tuition Assistance,skipped_sparse_interaction_cells,,2388,15,,,,,,,,,,,,
Small firms,2022,PAID LEAVE,Paid Leave,ok,,2388,15,0.21144569524133328,0.1532868338676619,0.16776776718210373,-0.041147075303737374,0.016504608063659783,0.012664534406989716,-0.22110754619675,0.1818480508414737,0.2240261582481725,-0.5775297258460385,0.13531463345253847,0.38365961146327954
Small firms,2022,HEALTH_WELLBEING,Health and Wellbeing,skipped_sparse_interaction_cells,,2388,15,,,,,,,,,,,,
Small firms,2022,PARENTAL_LEAVE,Parental Leave,skipped_sparse_interaction_cells,,2388,15,,,,,,,,,,,,
Small firms,2022,CULTURE,Workplace Culture,ok,,2388,15,0.18735661486479405,0.1382910218183875,0.1754814283356413,0.031505730656362196,0.03357153700490853,0.3480052173700865,-0.25252437740168254,0.15282249746507845,0.09845239222513337,-0.5520564724332363,0.047007717629871215,0.382025313799652
Small firms,2022,REMOTE_KW,Remote Work,ok,,2388,15,-0.10672479802473234,0.10360305647783641,0.3029481620173198,0.15908841994490447,0.03619584044145273,1.1066430726307948e-05,0.30592278328004996,0.1678587279184267,0.06837892647019353,-0.023080323440066386,0.6349258900001663,0.3888799202777361
Small firms,2023,EDU_ASSISTANCE,Tuition Assistance,ok,,2296,30,0.2497679126804535,0.0703101591438027,0.0003817732249899765,0.01567405360470253,0.025854657252659223,0.5443572900310428,-0.08051641149020483,0.11795185485423372,0.4948463695153811,-0.3117020470045029,0.15066922402409325,0.3970449044651706
Small firms,2023,PAID LEAVE,Paid Leave,ok,,2296,30,0.32401113307628415,0.09192630551840342,0.00042398902849571517,-0.022481709286497967,0.01802912909580606,0.21240999926855486,-0.14628602942771618,0.12284758911830358,0.233734920748502,-0.3870673040995912,0.09449524524415884,0.397721281847518
Small firms,2023,HEALTH_WELLBEING,Health and Wellbeing,skipped_sparse_interaction_cells,,2296,30,,,,,,,,,,,,
