SOC_2021_2_NAME,YEAR,AI Demand,MEAN SALARY,AI Demand % Change,PRIOR YEAR % CHANGE,LOG_SALARY_ai,SALARY_ai,MEDIAN_LOG_SALARY_ai,MEDIAN_SALARY_ai,LOG_SALARY_non_ai,SALARY_non_ai,MEDIAN_LOG_SALARY_non_ai,MEDIAN_SALARY_non_ai,Salary (Log) Premium,SALARY_PREMIUM,job_count,ai_role_count,Prevalence: Tuition Assistance,Prevalence: Tuition Assistance (AI),Prevalence: Tuition Assistance (Non-AI),Prevalence: Paid Leave,Prevalence: Paid Leave (AI),Prevalence: Paid Leave (Non-AI),Prevalence: Health and Wellbeing,Prevalence: Health and Wellbeing (AI),Prevalence: Health and Wellbeing (Non-AI),Prevalence: Parental Leave,Prevalence: Parental Leave (AI),Prevalence: Parental Leave (Non-AI),Prevalence: Workplace Culture,Prevalence: Workplace Culture (AI),Prevalence: Workplace Culture (Non-AI),Prevalence: Remote Work,Prevalence: Remote Work (AI),Prevalence: Remote Work (Non-AI),Prevalence: Remote Keywords,Prevalence: Remote Keywords (AI),Prevalence: Remote Keywords (Non-AI),Log Job Count
Healthcare Practitioners and Technical Occupations,2019,0.0946397501510596,89738.28781114718,-14.028503806855209,,10.994743003979565,63518.181818181816,10.981505900902489,58777.0,11.240824167349098,89757.81134502133,11.265002422291795,78042.0,97.8108263263799,70.7661883309781,137363,130,8732,3,8729,17553,16,17537,3114,4,3110,848,2,846,7584,4,7580,154.0,0.0,154.0,3475,3,3472,11.830382335752194
Healthcare Practitioners and Technical Occupations,2020,0.09683706700878318,90448.56099674973,2.321769504057558,-14.028503806855209,10.902202176614894,59655.833333333336,10.675136607500907,43300.0,11.223352199517342,90458.57272136123,11.225243392518447,75000.0,97.13855524451725,65.94823634581401,162128,157,10680,2,10678,25048,13,25035,4432,0,4432,1518,0,1518,9381,21,9360,221.0,0.0,221.0,3226,6,3220,11.9961414256881
Healthcare Practitioners and Technical Occupations,2021,0.10197070659701395,93767.45644927993,5.301316682552093,2.321769504057558,11.27775599161716,107464.88888888889,11.106640020478162,66612.0,11.281217184548167,93755.81740361919,11.269642979815131,78405.0,99.96931897618506,114.62210224913521,183386,187,21653,9,21644,42856,24,42832,6601,9,6592,3991,2,3989,16507,33,16474,307.0,3.0,304.0,4683,28,4655,12.119348500012908
Healthcare Practitioners and Technical Occupations,2022,0.1039077194228518,105492.4137377444,1.8995777223481447,5.301316682552093,11.252347327583834,88195.90322580645,11.214334784375845,74199.5,11.418265565482141,105512.93350682153,11.412884110790001,90480.0,98.54690507111795,83.58776530471924,228087,237,29835,18,29817,59746,44,59702,9339,6,9333,7055,7,7048,24506,64,24442,375.0,2.0,373.0,6692,23,6669,12.337482414101213
Healthcare Practitioners and Technical Occupations,2023,0.09739732698447054,103490.03733006894,-6.265552236679605,1.8995777223481447,11.406811325960414,103112.0,11.285822428528775,79684.5,11.436386746425192,103490.47625620848,11.461632170582678,95000.0,99.74139191756501,99.63428880617818,221772,216,34378,21,34357,69352,62,69290,10055,11,10044,12445,11,12434,26745,46,26699,364.0,1.0,363.0,5790,21,5769,12.309405106073756
Healthcare Practitioners and Technical Occupations,2024,0.24460228609059692,103488.10988035813,151.13860273557341,-6.265552236679605,11.548854178743861,116585.89108910892,11.50085288373596,98800.0,11.44498533144362,103467.11318328996,11.490270774405422,97760.0,100.90754897706049,112.67917650565866,148813,364,22185,20,22165,50999,78,50921,9392,14,9378,8784,12,8772,16571,61,16510,11.0,0.0,11.0,4193,39,4154,11.910445763156375
Legal Occupations,2018,0.33831406822667043,67855.9034965035,,,11.84939770159144,140000.0,11.84939770159144,140000.0,10.985361217194443,67805.4177746676,10.915088464214607,55000.0,107.8653443188067,206.47317662026796,7094,24,165,2,163,639,0,639,161,0,161,68,0,68,312,2,310,0.0,0.0,0.0,235,0,235,8.867004635333567
Legal Occupations,2019,0.628930817610063,67596.46234676008,85.9014675052411,,,,,,10.995606817474139,67596.46234676008,10.925542718482083,55578.0,,,7950,50,205,1,204,1203,3,1200,209,0,209,144,1,143,368,4,364,34.0,0.0,34.0,344,1,343,8.980927207648378
Legal Occupations,2020,0.45466026774437995,66276.44377041531,-27.7090174286436,85.9014675052411,11.090110718526951,65520.0,11.090110718526951,65520.0,10.957157280859915,66276.7969187675,10.858998997563564,52000.0,101.21339353136128,98.85812689515598,7918,36,203,2,201,1843,2,1841,210,1,209,186,1,185,415,4,411,68.0,0.0,68.0,743,1,742,8.976893927666076
Legal Occupations,2021,0.7629049836520361,70749.74437443745,67.79671279324502,-27.7090174286436,11.175954630986421,82715.625,11.04276181011903,63000.0,11.029552751615883,70720.95428571428,10.941995917134532,56500.0,101.3273600722304,116.96056117374629,10093,77,362,1,361,3046,12,3034,326,2,324,431,2,429,937,17,920,102.0,0.0,102.0,1428,9,1419,9.219597393238859
