Occupation,Year,AI Demand (%),Total Jobs,AI Jobs,Tuition Assistance AI (%),Tuition Assistance Non-AI (%),Tuition Assistance Gap (pp),Paid Leave AI (%),Paid Leave Non-AI (%),Paid Leave Gap (pp),Health & Wellbeing AI (%),Health & Wellbeing Non-AI (%),Health & Wellbeing Gap (pp),Parental Leave AI (%),Parental Leave Non-AI (%),Parental Leave Gap (pp),Workplace Culture AI (%),Workplace Culture Non-AI (%),Workplace Culture Gap (pp),Remote Work AI (%),Remote Work Non-AI (%),Remote Work Gap (pp)
Community and Social Service Occupations,2018,0.21,19480,41,14.63,4.73,9.9,19.51,13.57,5.95,7.32,3.17,4.14,2.44,2.31,0.13,9.76,3.99,5.76,4.88,3.43,1.45
Production Occupations,2020,0.21,44668,95,8.42,5.01,3.41,12.63,20.17,-7.54,4.21,2.6,1.61,0.0,1.01,-1.01,4.21,3.43,0.78,5.26,1.76,3.5
Community and Social Service Occupations,2021,0.2,30114,61,3.28,9.44,-6.16,24.59,31.84,-7.25,18.03,5.28,12.75,3.28,4.4,-1.12,31.15,10.7,20.44,13.11,9.03,4.09
Personal Care and Service Occupations,2023,0.13,19601,25,4.0,6.65,-2.65,20.0,28.73,-8.73,0.0,4.16,-4.16,4.0,2.48,1.52,24.0,7.0,17.0,4.0,2.03,1.97
Personal Care and Service Occupations,2024,0.13,12984,17,11.76,6.28,5.49,29.41,33.19,-3.78,11.76,5.29,6.47,0.0,3.17,-3.17,5.88,7.94,-2.06,5.88,1.84,4.05
Transportation and Material Moving Occupations,2024,0.13,50806,68,5.88,10.57,-4.69,17.65,42.29,-24.64,5.88,7.04,-1.16,1.47,6.03,-4.55,19.12,8.21,10.9,4.41,1.1,3.31
Personal Care and Service Occupations,2021,0.12,22201,26,3.85,4.81,-0.97,11.54,20.25,-8.71,3.85,2.22,1.63,0.0,1.57,-1.57,3.85,5.01,-1.17,15.38,1.75,13.63
Personal Care and Service Occupations,2022,0.12,25069,30,3.33,5.44,-2.11,20.0,25.13,-5.13,0.0,3.04,-3.04,3.33,2.03,1.3,16.67,6.0,10.66,6.67,2.98,3.69
Healthcare Practitioners and Technical Occupations,2018,0.11,138078,152,1.97,5.21,-3.23,5.26,9.63,-4.36,0.66,1.88,-1.23,3.29,0.44,2.85,2.63,2.52,0.11,3.95,1.99,1.96
Community and Social Service Occupations,2020,0.11,23599,26,0.0,7.65,-7.65,19.23,24.93,-5.7,3.85,3.78,0.07,0.0,4.02,-4.02,23.08,5.92,17.16,11.54,7.43,4.11
Healthcare Practitioners and Technical Occupations,2020,0.1,162128,157,1.27,6.59,-5.32,8.28,15.46,-7.18,0.0,2.74,-2.74,0.0,0.94,-0.94,13.38,5.78,7.6,3.82,1.99,1.83
Healthcare Practitioners and Technical Occupations,2021,0.1,183386,187,4.81,11.81,-7.0,12.83,23.38,-10.55,4.81,3.6,1.21,1.07,2.18,-1.11,17.65,8.99,8.65,14.97,2.54,12.43
Healthcare Practitioners and Technical Occupations,2022,0.1,228087,237,7.59,13.09,-5.49,18.57,26.2,-7.64,2.53,4.1,-1.56,2.95,3.09,-0.14,27.0,10.73,16.28,9.7,2.93,6.78
Healthcare Practitioners and Technical Occupations,2023,0.1,221772,216,9.72,15.51,-5.78,28.7,31.27,-2.57,5.09,4.53,0.56,5.09,5.61,-0.52,21.3,12.05,9.25,9.72,2.6,7.12
Healthcare Practitioners and Technical Occupations,2019,0.09,137363,130,2.31,6.36,-4.05,12.31,12.78,-0.47,3.08,2.27,0.81,1.54,0.62,0.92,3.08,5.52,-2.45,2.31,2.53,-0.22
Transportation and Material Moving Occupations,2022,0.08,104718,88,6.82,8.56,-1.74,22.73,37.36,-14.63,3.41,5.37,-1.96,11.36,6.51,4.86,25.0,9.46,15.54,10.23,0.98,9.25
Personal Care and Service Occupations,2020,0.07,19110,14,0.0,3.09,-3.09,0.0,13.79,-13.79,0.0,2.17,-2.17,0.0,1.24,-1.24,14.29,3.15,11.13,7.14,2.28,4.86
Transportation and Material Moving Occupations,2023,0.07,84925,61,3.28,9.81,-6.53,21.31,40.62,-19.31,3.28,6.19,-2.91,6.56,6.55,0.01,18.03,8.8,9.24,4.92,0.9,4.02
Transportation and Material Moving Occupations,2018,0.06,86162,49,8.16,5.98,2.19,8.16,21.89,-13.73,2.04,3.39,-1.35,2.04,0.2,1.84,6.12,1.32,4.81,0.0,0.36,-0.36
Transportation and Material Moving Occupations,2021,0.06,129816,79,3.8,7.46,-3.67,16.46,36.73,-20.27,2.53,7.96,-5.43,0.0,3.91,-3.91,39.24,5.23,34.01,2.53,0.78,1.75
Personal Care and Service Occupations,2019,0.04,19833,8,0.0,2.2,-2.2,37.5,9.3,28.2,0.0,1.89,-1.89,0.0,0.66,-0.66,0.0,4.1,-4.1,0.0,1.23,-1.23
Transportation and Material Moving Occupations,2019,0.04,71472,31,3.23,4.89,-1.67,3.23,21.15,-17.93,0.0,3.29,-3.29,3.23,0.61,2.62,12.9,2.21,10.7,3.23,0.49,2.73
Transportation and Material Moving Occupations,2020,0.04,105958,47,4.26,5.12,-0.87,17.02,28.35,-11.33,0.0,6.67,-6.67,2.13,1.39,0.74,4.26,2.05,2.2,4.26,0.61,3.64
Personal Care and Service Occupations,2018,0.03,19845,5,0.0,1.63,-1.63,0.0,6.27,-6.27,0.0,1.69,-1.69,0.0,0.23,-0.23,0.0,3.55,-3.55,0.0,1.24,-1.24
